Hale and Hearty	http://www.yelp.com/biz/hale-and-hearty-new-york-19?osq=cheap+eats	$	23	Sandwiches	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=sandwiches	0.3
Schnipper's Quality Kitchen	http://www.yelp.com/biz/schnippers-quality-kitchen-new-york-2?osq=cheap+eats	$$	260	American (New)	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=newamerican	0.4
Burger Joint	http://www.yelp.com/biz/burger-joint-new-york-3?osq=cheap+eats	$$	108	Burgers	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=burgers	0.4
Shake Shack	http://www.yelp.com/biz/shake-shack-new-york-2?osq=cheap+eats	$$	4885	Burgers	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=burgers	0.4
Le Pain Quotidien	http://www.yelp.com/biz/le-pain-quotidien-new-york-15?osq=cheap+eats	$$	107	Coffee & Tea	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=coffee	0.3
Chelsea Bagel & Cafe	http://www.yelp.com/biz/chelsea-bagel-and-cafe-new-york?osq=cheap+eats	$	33	Bagels	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=bagels	0.3
Pizza Vinoteca	http://www.yelp.com/biz/pizza-vinoteca-manhattan?osq=cheap+eats	$$	50	Pizza	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=pizza	0.1
Sophie's Cuban Cuisine	http://www.yelp.com/biz/sophies-cuban-cuisine-new-york-4?osq=cheap+eats	$	137	Cuban	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=cuban	0.3
Morocho Peruvian Fusion	http://www.yelp.com/biz/morocho-peruvian-fusion-new-york?osq=cheap+eats	$	14	Street Vendors	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=streetvendors	0.1
Little Italy Pizza	http://www.yelp.com/biz/little-italy-pizza-new-york-15?osq=cheap+eats	$	15	Pizza	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=pizza	0.2
Liquiteria	http://www.yelp.com/biz/liquiteria-new-york-4?osq=cheap+eats	$$	34	Juice Bars & Smoothies	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=juicebars	0.1
Joe's Pizza	http://www.yelp.com/biz/joes-pizza-new-york-7?osq=cheap+eats	$	110	Pizza	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=pizza	0.3
Pete's Tavern	http://www.yelp.com/biz/petes-tavern-new-york?osq=cheap+eats	$$	300	Pubs	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=pubs	0.3
Pie Face	http://www.yelp.com/biz/pie-face-new-york-19?osq=cheap+eats	$	79	Bakeries	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=bakeries	0.3
Popeye's Chicken & Biscuits	http://www.yelp.com/biz/popeyes-chicken-and-biscuits-new-york-6?osq=cheap+eats	$	24	Southern	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=southern	0.2
tbsp & Spoon	http://www.yelp.com/biz/tbsp-and-spoon-new-york?osq=cheap+eats	$$	251	Caterers	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=catering	0.2
Murray's Bagels	http://www.yelp.com/biz/murrays-bagels-new-york?osq=cheap+eats	$	440	Bagels	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=bagels	0.3
Pret A Manger	http://www.yelp.com/biz/pret-a-manger-new-york-52?osq=cheap+eats	$	107	Coffee & Tea	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=coffee	0.1
